name,RA,DEC,Period,T1init,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 23936839,276.0670947,35.24123663,0.275306208,5188.572754,5182.969455,132.1973959,62.12167676,0.396915051,3.329394293,0.445361904,0.199437754,0.035214417,0.939977875,0.005535717,0,0,0.292592298,0.498672288,2.257635206,0.996722423
TIC 326242641,41.27993635,-18.13250547,0.364989977,6312,6429.418572,77.05155159,74.21277803,0.052032656,0.35368199,0.000548697,0.258579245,0.003863024,1.009880012,0.000737542,0,0,0.488754195,0.310083861,0.413115719,0.998181548
TIC 353565609,36.10871134,71.38513447,0.380312806,5222.274902,5314.151567,114.0614728,79.69742403,0.18900847,3.310217613,0.026683348,0.140376004,0.011873756,0.953140512,0.001516803,0,0,0.289395007,0.49490151,2.424793087,0.993968158
TIC 408256672,70.56744431,-25.82535472,0.254993004,4957.66748,5107.747416,57.13000715,75.22520781,0.425825605,2.513860718,0.190037164,0.037551492,0.002321699,0.954199873,0.001476064,0,0,0.304752752,0.464955687,1.900409763,0.996896205
TIC 436660156,72.91173344,13.38099741,0.414823969,5316.699707,5385.823156,108.8783069,76.515735,0.291671228,0.208479174,0.002403946,0.395563577,0.021478486,0.996986601,0.001584541,0,0,0.537615589,0.274240137,0.252385364,0.99433572
TIC 441810703,267.1008482,77.05329006,0.336753861,5708.462402,5735.820571,135.8931123,47.11644667,0.679379676,2.619409799,0.33129857,0.211982371,0.032669065,0.905769467,0.015593262,0,0,0.313403257,0.479552086,1.634574212,0.996123732
TIC 457172621,57.70570447,3.429259143,0.452234194,5763,5748.191549,130.3534753,60.95075195,0.270399729,0.527763051,0.052474406,0.390521931,0.030325631,0.999352872,0.003736468,0,0,0.46656346,0.356277897,0.575676328,0.996753778
TIC 56001210,69.7155277,-9.532366201,0.378697765,6177.666504,6348.981723,32.48730152,84.43025534,0.281262473,0.214804814,0.000894547,0.416764425,0.00307607,1.023914539,0.001076825,0,0,0.536367886,0.27783701,0.283049024,0.997139312
TIC 434106760,354.5296069,-13.73308788,0.28069041,5353,5537.443876,18.64515926,81.26806166,0.180559675,3.638805068,0.021552823,0.25733676,0.000957019,0.948590616,0.001053744,0,0,0.288885572,0.509107773,2.568316536,0.996205483
TIC 120499528,285.4108286,39.04113958,0.369363329,5877.850098,5933.877778,126.7923524,80.56506395,0.272465746,3.307186578,0.048409939,0.382133233,0.024699589,0.944468841,0.002226494,0,0,0.304748448,0.508567603,2.318552394,0.997933595
TIC 121108244,287.0808776,40.04636636,0.395231617,5003,5032.934422,130.8028249,87.9090596,1.3280631,1.338683537,0.067451442,0.093784027,0.016746175,0.948216808,0.004263862,0.815755317,0.002420448,0.362625486,0.413785303,1.035153795,0.994543764
TIC 151233402,91.25112274,12.55131439,0.809243859,6604.25,6432.838854,33.66594088,80.19745707,0.072674043,0.294611457,0.00090926,0.612890997,0.004789163,1.013104117,0.000610507,0,0,0.524159449,0.317764277,0.372218592,0.995802094
