name,RA,DEC,Period,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 456130400,51.66201092,42.72355109,0.351843355,5714,108,64.55414784,0.077439378,0.542501771,0.014972589,0.071160772,0.003912357,0.9490162,0.001084117,0,0,0.439836129,0.332917061,0.475735301,0.999138401
TIC 314459000,319.1213059,55.38617321,0.858668508,6469,37,81.08320118,0.2799738,0.199535159,0.001498279,0.619735549,0.021584491,1.016886581,0.001171522,0,0,0.551319671,0.282827407,0.267887464,0.997111952
TIC 198313291,233.6883923,62.27898056,0.306770625,5364,94,84.3465,0.3314,0.309,0.001,0.1779,0.0089,0.9526,0.0006,0,0,0.4951,0.2936,0.2929,0.9965
TIC 387614873,103.2285675,15.41740202,0.665453411,7065,33,37.15284184,1.135640278,0.933853847,0.077608462,0.813973142,0.13651342,0.928507236,0.008428719,0,0,0.47321904,0.461953798,0.758207047,0.994508913
TIC 135230069,186.146988,-38.80544431,0.314439831,5240,26,60.27996649,0.187371875,0.986649847,0.019301209,0.219574379,0.01182908,0.864001252,0.002837902,0,0,0.402329826,0.399984574,0.552810385,0.996080156
TIC 441734144,258.5581599,76.70397497,0.325230055,4957,10,87.30690371,0.171571425,0.562275532,0.001088601,0.270807919,0.005294871,0.915608861,0.00035168,0,0,0.452112517,0.352183318,0.422448586,0.997727184
TIC 197933923,59.39157147,-54.35738239,0.49056889,6794,151,81.51912422,0.263700788,0.41356672,0.005254301,0.865899066,0.011510334,0.981855161,0.00125778,0,0,0.520578913,0.37306621,0.470307902,0.999812321
TIC 429973546,96.00321476,20.47025358,0.350542367,6730,84,72.80923179,0.202083807,0.238669771,0.004105833,0.254958177,0.006009864,1.003300324,0.000747898,0,0,0.520328278,0.277373108,0.284253969,0.999676573
TIC 76305215,274.1283607,37.18414666,0.401567195,6195,10,89.53527727,0.429032069,0.299225926,0.000815098,0.15459733,0.006294183,0.964603318,0.000719625,0,0,0.496493999,0.289510255,0.300738731,0.999594037
TIC 1630438,188.135365,-15.522901,0.39053525,6113,17,30.23511351,0.241124376,0.685076965,0.214379269,0.237937739,0.102548093,0.822954737,0.031233496,0,0,0.433448855,0.367568829,0.35692569,0.995819825
TIC 272176884,296.0164125,43.43675176,0.83661499,6142,27,82.38557327,0.661245864,0.45409155,0.015949218,0.147995538,0.019704751,0.966189722,0.002199213,0,0,0.460719713,0.323606142,0.438781802,0.999447632
TIC 143058907,167.8772958,-8.261359046,0.60027114,6709,8,86.0946344,0.756598862,0.102040648,0.000898458,0.303687615,0.024254867,0.900562192,0.001863411,0,0,0.587404499,0.217488438,0.096835126,0.99901457
TIC 140757590,74.281108,-72.131945,0.418483992,6222,55,88.85629208,0.953348803,0.216880596,0.001961217,0.734726496,0.019009951,0.980259291,0.001908223,0,0,0.55139871,0.297030969,0.260558374,0.999402619
TIC 172274437,299.5124343,39.41096339,0.489369979,6209,48,50.39142657,1.444267633,0.163969728,0.031001057,0.751184964,0.146004433,1.048902604,0.012728632,0,0,0.570314154,0.272904666,0.256493169,0.993969467
TIC 30028394,43.44756707,-13.12898278,0.457456923,5903,9,60.25766177,0.56066421,0.378471544,0.081688895,0.493657068,0.092294705,0.991431068,0.005627151,0,0,0.498823234,0.332886663,0.424979586,0.999394197
TIC 117978580,71.74587639,-14.62313781,0.527791079,7083,162,80.9052,0.2486,0.3465,0.003,0.337,0.015,0.9756,0.0022,0,0,0.4953,0.3137,0.3668,1
TIC 367235822,308.7821981,24.51460026,0.677722163,6980,33,56.49797338,0.328660396,0.937416547,0.063735428,0.140707259,0.019225023,0.967473327,0.007361138,0,0,0.398783387,0.387462692,0.853905427,0.997268256
